date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:42:51	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2024%20Jul%202024%2009:42:51%20GMT	http://avalogtrade.com/robots.txt		(from )
10:42:53	52194/52194	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Jul%202024%2009:42:52%20GMT	http://avalogtrade.com/	C:/My%20Web%20Sites/frmabas/avalogtrade.com/index.html	(from )
10:42:53	1251/1251	---M-Z	200	added ('OK')	text/html	date:Sat,%2002%20Mar%202024%2015:06:16%20GMT	http://avalogtrade.com/v1/front/assets/img/crypto.html	C:/My%20Web%20Sites/frmabas/avalogtrade.com/v1/front/assets/img/crypto.html	(from http://avalogtrade.com/)
10:42:54	57995/57995	---M-Z	200	added ('OK')	text/css	date:Wed,%2002%20Aug%202023%2010:30:52%20GMT	http://avalogtrade.com/v1/front/css/animate.css	C:/My%20Web%20Sites/frmabas/avalogtrade.com/v1/front/css/animate.css	(from http://avalogtrade.com/)
10:42:55	155758/155758	---M-Z	200	added ('OK')	text/css	date:Wed,%2002%20Aug%202023%2010:30:52%20GMT	http://avalogtrade.com/v1/front/css/bootstrap.min.css	C:/My%20Web%20Sites/frmabas/avalogtrade.com/v1/front/css/bootstrap.min.css	(from http://avalogtrade.com/)
10:42:55	7080/7080	---M-Z	200	added ('OK')	text/css	date:Wed,%2002%20Aug%202023%2010:30:52%20GMT	http://avalogtrade.com/v1/front/css/et-line-icons.css	C:/My%20Web%20Sites/frmabas/avalogtrade.com/v1/front/css/et-line-icons.css	(from http://avalogtrade.com/)
10:42:56	55093/55093	---M-Z	200	added ('OK')	text/css	date:Wed,%2002%20Aug%202023%2010:30:52%20GMT	http://avalogtrade.com/v1/front/css/font-awesome.min.css	C:/My%20Web%20Sites/frmabas/avalogtrade.com/v1/front/css/font-awesome.min.css	(from http://avalogtrade.com/)
10:42:56	16510/16510	---M-Z	200	added ('OK')	text/css	date:Wed,%2002%20Aug%202023%2010:30:52%20GMT	http://avalogtrade.com/v1/front/css/themify-icons.css	C:/My%20Web%20Sites/frmabas/avalogtrade.com/v1/front/css/themify-icons.css	(from http://avalogtrade.com/)
10:42:57	19778/19778	---M-Z	200	added ('OK')	text/css	date:Wed,%2002%20Aug%202023%2010:30:52%20GMT	http://avalogtrade.com/v1/front/css/swiper.min.css	C:/My%20Web%20Sites/frmabas/avalogtrade.com/v1/front/css/swiper.min.css	(from http://avalogtrade.com/)
10:42:57	2515/2515	---M-Z	200	added ('OK')	text/css	date:Wed,%2002%20Aug%202023%2010:30:52%20GMT	http://avalogtrade.com/v1/front/css/justified-gallery.min.css	C:/My%20Web%20Sites/frmabas/avalogtrade.com/v1/front/css/justified-gallery.min.css	(from http://avalogtrade.com/)
10:42:57	5855/5855	---M-Z	200	added ('OK')	text/css	date:Wed,%2002%20Aug%202023%2010:30:52%20GMT	http://avalogtrade.com/v1/front/css/magnific-popup.css	C:/My%20Web%20Sites/frmabas/avalogtrade.com/v1/front/css/magnific-popup.css	(from http://avalogtrade.com/)
10:42:58	30122/30122	---M-Z	200	added ('OK')	text/css	date:Wed,%2002%20Aug%202023%2010:30:54%20GMT	http://avalogtrade.com/v1/front/revolution/css/settings.css	C:/My%20Web%20Sites/frmabas/avalogtrade.com/v1/front/revolution/css/settings.css	(from http://avalogtrade.com/)
10:42:58	140793/140793	---M-Z	200	added ('OK')	text/css	date:Wed,%2002%20Aug%202023%2010:30:54%20GMT	http://avalogtrade.com/v1/front/revolution/css/layers.css	C:/My%20Web%20Sites/frmabas/avalogtrade.com/v1/front/revolution/css/layers.css	(from http://avalogtrade.com/)
10:42:59	59576/59576	---M-Z	200	added ('OK')	text/css	date:Wed,%2002%20Aug%202023%2010:30:54%20GMT	http://avalogtrade.com/v1/front/revolution/css/navigation.css	C:/My%20Web%20Sites/frmabas/avalogtrade.com/v1/front/revolution/css/navigation.css	(from http://avalogtrade.com/)
